lat,lng,departamento
15.5942883,-90.1494988,ALTA VERAPAZ
15.1255867,-90.3748354,BAJA VERAPAZ
14.720528,-90.9338557,CHIMALTENANGO
14.688429,-89.4085807,CHIQUIMULA
14.920059,-90.0888647,EL PROGRESO
14.117245,-90.9450417,ESCUINTLA
14.625274,-90.4633657,GUATEMALA
15.695215,-91.5509187,HUEHUETENANGO
15.588478,-89.0064727,IZABAL
14.635,-89.989,JALAPA
14.292,-89.896,JUTIAPA
16.9103164,-89.9024757,PETÉN
14.831942,-91.6254837,QUETZALTENANGO
15.474991,-90.9710357,QUICHÉ
14.396647,-91.8088817,RETALHULEU
14.557,-90.733,SACATEPÉQUEZ
15.036932,-91.9160617,SAN MARCOS
14.16792,-90.3430047,SANTA ROSA
14.719808,-91.2708607,SOLOLÁ
14.42413,-91.4007187,SUCHITEPÉQUEZ
14.912,-91.361,TOTONICAPÁN
14.972,-89.531,ZACAPA
15.783471,-90.230759,TODOS
